Name,Association,Class,Rarity,Level,Chibi,Health,Armor,Reload,Luck,Firepower,Torpedo,Evasion,Speed,AntiAir,Aviation,OilConsumption,Accuracy,AntiSubmarine
Downes,Eagle Union,Destroyer,Normal,Level 120 Retrofit,/w/images/c/c4/DownesChibi.png,1900,Light,210,63,101,293,187,47,168,0,7,182,181
Shoukaku,Sakura Empire,Aircraft Carrier,Super Rare,Level 120,/w/images/d/db/ShoukakuChibi.png,6729,Medium,120,49,0,0,56,34,349,412,13,87,0
Downes,Eagle Union,Destroyer,Normal,Level 120,/w/images/c/c4/DownesChibi.png,1735,Light,190,63,76,283,162,44,168,0,7,182,181
Le Mars,Vichya Dominion,Destroyer,Rare,Level 120 Retrofit,/w/images/8/8e/Le_MarsChibi.png,1436,Light,193,24,89,439,200,42,183,0,8,186,202
Downes,Eagle Union,Destroyer,Normal,Level 100 Retrofit,/w/images/c/c4/DownesChibi.png,1611,Light,185,63,91,258,181,47,146,0,7,174,162
Shoukaku,Sakura Empire,Aircraft Carrier,Super Rare,Level 100,/w/images/d/db/ShoukakuChibi.png,5954,Medium,104,49,0,0,36,34,310,370,13,78,0
Downes,Eagle Union,Destroyer,Normal,Level 100,/w/images/c/c4/DownesChibi.png,1446,Light,165,63,66,248,156,44,146,0,7,174,162
Ryuuhou,Sakura Empire,Light Aircraft Carrier,Super Rare,Level 120,/w/images/3/3d/RyuuhouChibi.png,4986,Medium,189,70,0,0,69,26,276,317,12,84,112
Downes,Eagle Union,Destroyer,Normal,Base Stats,/w/images/c/c4/DownesChibi.png,280,Light,70,63,14,53,60,44,31,0,1,67,44
Shoukaku,Sakura Empire,Aircraft Carrier,Super Rare,Base Stats,/w/images/d/db/ShoukakuChibi.png,1152,Medium,44,49,0,0,14,34,66,79,4,30,0
Gridley,Eagle Union,Destroyer,Rare,Level 120,/w/images/c/cb/GridleyChibi.png,1810,Light,201,72,73,438,163,46,174,0,8,194,201
Le Mars,Vichya Dominion,Destroyer,Rare,Level 120,/w/images/8/8e/Le_MarsChibi.png,1376,Light,193,24,69,409,200,39,138,0,8,186,187
Gridley,Eagle Union,Destroyer,Rare,Level 100,/w/images/c/cb/GridleyChibi.png,1508,Light,175,72,63,396,157,46,151,0,8,184,181
Zuikaku,Sakura Empire,Aircraft Carrier,Super Rare,Level 120,/w/images/9/97/ZuikakuChibi.png,7193,Medium,120,73,0,0,57,34,323,414,13,87,0
Gridley,Eagle Union,Destroyer,Rare,Base Stats,/w/images/c/cb/GridleyChibi.png,292,Light,74,72,14,84,60,46,32,0,2,71,49
U-522,Ironblood,Submarine,Elite,Level 100,/w/images/2/22/U-522Chibi.png,1247,Light,73,22,38,459,18,14,0,0,6,159,0
Craven,Eagle Union,Destroyer,Normal,Level 120,/w/images/b/b8/CravenChibi.png,1774,Light,196,72,72,429,163,46,171,0,7,194,192
Zuikaku,Sakura Empire,Aircraft Carrier,Super Rare,Level 100,/w/images/9/97/ZuikakuChibi.png,6365,Medium,104,73,0,0,36,34,285,372,13,78,0
Craven,Eagle Union,Destroyer,Normal,Level 100,/w/images/b/b8/CravenChibi.png,1479,Light,171,72,62,387,157,46,149,0,7,184,173
Le Mars,Vichya Dominion,Destroyer,Rare,Level 100 Retrofit,/w/images/8/8e/Le_MarsChibi.png,1207,Light,168,24,80,398,193,42,165,0,8,177,183
Craven,Eagle Union,Destroyer,Normal,Base Stats,/w/images/b/b8/CravenChibi.png,286,Light,72,72,13,82,60,46,32,0,1,71,47
Zuikaku,Sakura Empire,Aircraft Carrier,Super Rare,Base Stats,/w/images/9/97/ZuikakuChibi.png,1231,Medium,44,73,0,0,14,34,61,79,4,30,0
McCall,Eagle Union,Destroyer,Normal,Level 120,/w/images/3/30/McCallChibi.png,1724,Light,196,69,72,429,162,43,171,0,7,194,192
Cooper,Eagle Union,Destroyer,Elite,Level 120,/w/images/8/84/CooperChibi.png,2190,Light,220,22,126,360,179,40,200,0,9,202,215
McCall,Eagle Union,Destroyer,Normal,Level 100,/w/images/3/30/McCallChibi.png,1437,Light,171,69,62,387,156,43,149,0,7,184,173
Taihou,Sakura Empire,Aircraft Carrier,Super Rare,Level 120,/w/images/e/ea/TaihouChibi.png,7310,Heavy,120,36,0,0,54,33,319,399,13,82,0
McCall,Eagle Union,Destroyer,Normal,Base Stats,/w/images/3/30/McCallChibi.png,278,Light,72,69,13,82,60,43,32,0,1,71,47
Le Mars,Vichya Dominion,Destroyer,Rare,Level 100,/w/images/8/8e/Le_MarsChibi.png,1147,Light,168,24,60,368,193,39,120,0,8,177,168
Maury,Eagle Union,Destroyer,Elite,Level 120,/w/images/3/37/MauryChibi.png,1809,Light,207,69,76,448,198,43,178,0,9,194,202
Taihou,Sakura Empire,Aircraft Carrier,Super Rare,Level 100,/w/images/e/ea/TaihouChibi.png,6412,Heavy,104,36,0,0,34,33,281,358,13,73,0
Maury,Eagle Union,Destroyer,Elite,Level 100,/w/images/3/37/MauryChibi.png,1508,Light,180,69,66,406,190,43,155,0,9,184,183
U-522,Ironblood,Submarine,Elite,Base Stats,/w/images/2/22/U-522Chibi.png,241,Light,31,22,8,97,7,14,0,0,2,61,0
Maury,Eagle Union,Destroyer,Elite,Base Stats,/w/images/3/37/MauryChibi.png,292,Light,76,69,14,86,73,43,33,0,2,71,50
Taihou,Sakura Empire,Aircraft Carrier,Super Rare,Base Stats,/w/images/e/ea/TaihouChibi.png,1240,Heavy,44,36,0,0,13,33,60,76,4,28,0
Fletcher,Eagle Union,Destroyer,Rare,Level 120,/w/images/3/33/FletcherChibi.png,2077,Light,196,73,85,283,160,43,172,0,8,189,206
Le Mars,Vichya Dominion,Destroyer,Rare,Base Stats,/w/images/8/8e/Le_MarsChibi.png,222,Light,71,24,13,78,74,39,26,0,2,68,46
Fletcher,Eagle Union,Destroyer,Rare,Level 100,/w/images/3/33/FletcherChibi.png,1746,Light,171,73,74,248,156,43,150,0,8,180,186
Akashi,Sakura Empire,Repair Ship,Super Rare,Level 120,/w/images/7/70/AkashiChibi.png,4125,Light,181,53,44,0,45,19,160,0,11,107,0
Fletcher,Eagle Union,Destroyer,Rare,Base Stats,/w/images/3/33/FletcherChibi.png,338,Light,72,73,16,53,60,43,32,0,2,69,51
Ryuuhou,Sakura Empire,Light Aircraft Carrier,Super Rare,Level 100,/w/images/3/3d/RyuuhouChibi.png,4261,Medium,164,70,0,0,49,26,242,280,12,70,99
Charles Ausburne,Eagle Union,Destroyer,Elite,Level 120,/w/images/3/36/Charles_AusburneChibi.png,2112,Light,215,82,87,291,158,42,178,0,9,207,212
Akashi,Sakura Empire,Repair Ship,Super Rare,Level 100,/w/images/7/70/AkashiChibi.png,3525,Light,157,53,38,0,20,19,139,0,11,95,0
Charles Ausburne,Eagle Union,Destroyer,Elite,Level 100,/w/images/3/36/Charles_AusburneChibi.png,1775,Light,187,82,76,255,154,42,154,0,9,197,192
Dunkerque,Vichya Dominion,Battlecruiser,Elite,Level 120,/w/images/8/81/DunkerqueChibi.png,6788,Medium,163,35,357,0,41,31,227,0,13,71,0
Charles Ausburne,Eagle Union,Destroyer,Elite,Base Stats,/w/images/3/36/Charles_AusburneChibi.png,343,Light,79,82,16,54,59,42,33,0,2,76,52
Akashi,Sakura Empire,Repair Ship,Super Rare,Base Stats,/w/images/7/70/AkashiChibi.png,682,Light,66,53,8,0,8,19,30,0,3,37,0
Thatcher,Eagle Union,Destroyer,Rare,Level 120,/w/images/a/a0/ThatcherChibi.png,2037,Light,209,65,85,283,158,42,172,0,8,197,206
Alabama,Eagle Union,Battleship,Super Rare,Level 120,/w/images/2/25/AlabamaChibi.png,7783,Heavy,154,86,418,0,33,27,408,0,15,64,0
Thatcher,Eagle Union,Destroyer,Rare,Level 100,/w/images/a/a0/ThatcherChibi.png,1712,Light,182,65,74,248,154,42,150,0,8,188,186
Z1,Ironblood,Destroyer,Elite,Level 120 Retrofit,/w/images/7/7c/Z1Chibi.png,2218,Light,207,40,85,490,153,41,229,0,9,173,207
Thatcher,Eagle Union,Destroyer,Rare,Base Stats,/w/images/a/a0/ThatcherChibi.png,331,Light,77,65,16,53,59,42,32,0,2,72,51
Dunkerque,Vichya Dominion,Battlecruiser,Elite,Level 100,/w/images/8/81/DunkerqueChibi.png,5827,Medium,142,35,317,0,22,31,197,0,13,61,0
Aulick,Eagle Union,Destroyer,Normal,Level 120,/w/images/f/fa/AulickChibi.png,1998,Light,204,62,82,279,158,42,171,0,7,197,202
Z1,Ironblood,Destroyer,Elite,Level 120,/w/images/7/7c/Z1Chibi.png,2053,Light,207,40,65,450,148,41,154,0,9,173,197
Aulick,Eagle Union,Destroyer,Normal,Level 100,/w/images/f/fa/AulickChibi.png,1679,Light,178,62,72,244,154,42,148,0,7,188,183
Pola,Sardegna Empire,Heavy Cruiser,Unreleased,Base Stats,,,,,,,,,,,,,,
Aulick,Eagle Union,Destroyer,Normal,Base Stats,/w/images/f/fa/AulickChibi.png,325,Light,75,62,15,52,59,42,32,0,1,72,50
Z1,Ironblood,Destroyer,Elite,Level 100 Retrofit,/w/images/7/7c/Z1Chibi.png,1890,Light,180,40,77,447,148,41,209,0,9,165,187
Foote,Eagle Union,Destroyer,Normal,Level 120,/w/images/2/2d/FooteChibi.png,1998,Light,196,67,82,279,158,42,171,0,7,197,202
Dunkerque,Vichya Dominion,Battlecruiser,Elite,Base Stats,/w/images/8/81/DunkerqueChibi.png,1127,Medium,60,35,67,0,9,31,42,0,4,24,0
Foote,Eagle Union,Destroyer,Normal,Level 100,/w/images/2/2d/FooteChibi.png,1679,Light,171,67,72,244,154,42,148,0,7,188,183
Z1,Ironblood,Destroyer,Elite,Level 100,/w/images/7/7c/Z1Chibi.png,1725,Light,180,40,57,407,143,41,134,0,9,165,177
Foote,Eagle Union,Destroyer,Normal,Base Stats,/w/images/2/2d/FooteChibi.png,325,Light,72,67,15,52,59,42,32,0,1,72,50
Alabama,Eagle Union,Battleship,Super Rare,Level 100,/w/images/2/25/AlabamaChibi.png,6738,Heavy,134,86,383,0,18,27,375,0,15,52,0
Spence,Eagle Union,Destroyer,Normal,Level 120,/w/images/b/ba/SpenceChibi.png,1998,Light,196,20,82,279,158,42,171,0,7,197,202
Z1,Ironblood,Destroyer,Elite,Base Stats,/w/images/7/7c/Z1Chibi.png,334,Light,76,40,12,86,55,41,29,0,2,63,48
Spence,Eagle Union,Destroyer,Normal,Level 100,/w/images/b/ba/SpenceChibi.png,1679,Light,171,20,72,244,154,42,148,0,7,188,183
Jean Bart,Vichya Dominion,Battleship,Super Rare,Level 120,/w/images/0/0f/Jean_BartChibi.png,8036,Heavy,179,17,419,0,42,32,241,0,15,66,0
Spence,Eagle Union,Destroyer,Normal,Base Stats,/w/images/b/ba/SpenceChibi.png,325,Light,72,20,15,52,59,42,32,0,1,72,50
Z23,Ironblood,Destroyer,Elite,Level 120 Retrofit,/w/images/d/d3/Z23Chibi.png,2290,Light,199,65,170,347,162,42,215,0,9,175,221
Benson,Eagle Union,Destroyer,Rare,Level 120,/w/images/7/70/BensonChibi.png,1826,Light,204,72,87,320,163,45,172,0,8,184,193
Ryuuhou,Sakura Empire,Light Aircraft Carrier,Super Rare,Base Stats,/w/images/3/3d/RyuuhouChibi.png,824,Medium,69,70,0,0,19,26,52,59,4,27,27
Benson,Eagle Union,Destroyer,Rare,Level 100,/w/images/7/70/BensonChibi.png,1521,Light,178,72,76,282,157,45,149,0,8,175,174
Z23,Ironblood,Destroyer,Elite,Level 120,/w/images/d/d3/Z23Chibi.png,2125,Light,199,65,120,327,157,42,150,0,9,175,201
Benson,Eagle Union,Destroyer,Rare,Base Stats,/w/images/7/70/BensonChibi.png,294,Light,75,72,16,60,60,45,32,0,2,67,47
Jean Bart,Vichya Dominion,Battleship,Super Rare,Level 100,/w/images/0/0f/Jean_BartChibi.png,6897,Heavy,156,17,378,0,23,32,210,0,15,60,0
Laffey,Eagle Union,Destroyer,Elite,Level 120 Retrofit,/w/images/8/86/LaffeyChibi.png,2145,Light,220,18,161,342,203,45,176,0,9,205,199
Z23,Ironblood,Destroyer,Elite,Level 100 Retrofit,/w/images/d/d3/Z23Chibi.png,1951,Light,173,65,154,309,157,42,196,0,9,167,201
Laffey,Eagle Union,Destroyer,Elite,Level 120,/w/images/8/86/LaffeyChibi.png,1980,Light,220,18,101,302,163,45,176,0,9,205,199
Alabama,Eagle Union,Battleship,Super Rare,Base Stats,/w/images/2/25/AlabamaChibi.png,1303,Heavy,57,86,81,0,7,27,80,0,5,20,0
Laffey,Eagle Union,Destroyer,Elite,Level 100 Retrofit,/w/images/8/86/LaffeyChibi.png,1815,Light,191,18,148,306,197,45,153,0,9,195,180
Z23,Ironblood,Destroyer,Elite,Level 100,/w/images/d/d3/Z23Chibi.png,1786,Light,173,65,104,289,152,42,131,0,9,167,181
Laffey,Eagle Union,Destroyer,Elite,Level 100,/w/images/8/86/LaffeyChibi.png,1650,Light,191,18,88,266,157,45,153,0,9,195,180
Jean Bart,Vichya Dominion,Battleship,Super Rare,Base Stats,/w/images/0/0f/Jean_BartChibi.png,1334,Heavy,66,17,80,0,9,32,45,0,5,23,0
Laffey,Eagle Union,Destroyer,Elite,Base Stats,/w/images/8/86/LaffeyChibi.png,319,Light,81,18,19,56,60,45,33,0,2,75,49
Z23,Ironblood,Destroyer,Elite,Base Stats,/w/images/d/d3/Z23Chibi.png,345,Light,73,65,22,61,58,42,28,0,2,64,49
Sims,Eagle Union,Destroyer,Rare,Level 120 Retrofit,/w/images/f/fd/SimsChibi.png,2025,Light,219,45,111,286,160,45,262,0,8,178,208
Cooper,Eagle Union,Destroyer,Elite,Level 100,/w/images/8/84/CooperChibi.png,1825,Light,191,22,109,320,154,40,174,0,9,193,195
Sims,Eagle Union,Destroyer,Rare,Level 120,/w/images/f/fd/SimsChibi.png,1815,Light,204,45,81,286,160,42,172,0,8,178,208
Z25,Ironblood,Destroyer,Elite,Level 120,/w/images/5/55/Z25Chibi.png,2116,Light,190,72,120,327,156,43,154,0,9,169,201
Sims,Eagle Union,Destroyer,Rare,Level 100 Retrofit,/w/images/f/fd/SimsChibi.png,1723,Light,192,45,100,251,154,45,239,0,8,169,187
Massachusetts,Eagle Union,Battleship,Super Rare,Level 120,/w/images/4/46/MassachusettsChibi.png,7783,Heavy,156,82,414,0,33,27,400,0,15,74,0
Sims,Eagle Union,Destroyer,Rare,Level 100,/w/images/f/fd/SimsChibi.png,1513,Light,177,45,70,251,154,42,149,0,8,169,187
Z25,Ironblood,Destroyer,Elite,Level 100,/w/images/5/55/Z25Chibi.png,1778,Light,165,72,104,289,150,43,134,0,9,161,181
Sims,Eagle Union,Destroyer,Rare,Base Stats,/w/images/f/fd/SimsChibi.png,293,Light,75,45,15,53,59,42,32,0,2,65,51
Cavalla,Eagle Union,Submarine,Super Rare,Level 120,/w/images/8/87/CavallaChibi.png,1899,Light,93,78,65,524,41,16,0,0,7,192,0
Hammann,Eagle Union,Destroyer,Rare,Level 120 Retrofit,/w/images/b/bb/HammannChibi.png,2025,Light,224,47,96,286,160,45,262,0,8,178,208
Z25,Ironblood,Destroyer,Elite,Base Stats,/w/images/5/55/Z25Chibi.png,344,Light,70,72,22,61,58,43,29,0,2,62,49
Hammann,Eagle Union,Destroyer,Rare,Level 120,/w/images/b/bb/HammannChibi.png,1815,Light,204,47,81,286,160,42,172,0,8,178,208
Massachusetts,Eagle Union,Battleship,Super Rare,Level 100,/w/images/4/46/MassachusettsChibi.png,6738,Heavy,136,82,379,0,18,27,368,0,15,61,0
Hammann,Eagle Union,Destroyer,Rare,Level 100 Retrofit,/w/images/b/bb/HammannChibi.png,1723,Light,197,47,85,251,154,45,239,0,8,169,187
Königsberg,Ironblood,Light Cruiser,Normal,Level 120,/w/images/0/01/KönigsbergChibi.png,3372,Light,175,42,152,273,100,32,333,0,8,153,104
Hammann,Eagle Union,Destroyer,Rare,Level 100,/w/images/b/bb/HammannChibi.png,1513,Light,177,47,70,251,154,42,149,0,8,169,187
Halsey Powell,Eagle Union,Destroyer,Rare,Level 120,/w/images/0/02/Halsey_PowellChibi.png,2095,Light,203,55,81,281,160,42,220,0,9,198,214
Hammann,Eagle Union,Destroyer,Rare,Base Stats,/w/images/b/bb/HammannChibi.png,293,Light,75,47,15,53,59,42,32,0,2,65,51
Königsberg,Ironblood,Light Cruiser,Normal,Level 100,/w/images/0/01/KönigsbergChibi.png,2989,Light,152,42,133,239,76,32,295,0,8,133,91
Eldridge,Eagle Union,Destroyer,Super Rare,Level 120,/w/images/8/8b/EldridgeChibi.png,1720,Light,231,75,81,381,211,25,183,0,10,194,226
Massachusetts,Eagle Union,Battleship,Super Rare,Base Stats,/w/images/4/46/MassachusettsChibi.png,1303,Heavy,57,82,80,0,7,27,79,0,5,24,0
Eldridge,Eagle Union,Destroyer,Super Rare,Level 100,/w/images/8/8b/EldridgeChibi.png,1433,Light,201,75,70,341,203,25,159,0,10,184,205
Königsberg,Ironblood,Light Cruiser,Normal,Base Stats,/w/images/0/01/KönigsbergChibi.png,578,Light,64,42,28,51,29,32,63,0,2,51,25
Eldridge,Eagle Union,Destroyer,Super Rare,Base Stats,/w/images/8/8b/EldridgeChibi.png,277,Light,85,75,15,72,78,25,34,0,3,71,56
Cavalla,Eagle Union,Submarine,Super Rare,Level 100,/w/images/8/87/CavallaChibi.png,1582,Light,81,78,57,477,22,16,0,0,7,171,0
Omaha,Eagle Union,Light Cruiser,Normal,Level 120,/w/images/1/16/OmahaChibi.png,3237,Light,182,67,142,207,101,35,281,0,8,151,80
Karlsruhe,Ironblood,Light Cruiser,Normal,Level 120 Retrofit,/w/images/8/8b/KarlsruheChibi.png,3612,Light,180,39,172,318,100,32,348,0,8,153,87
Omaha,Eagle Union,Light Cruiser,Normal,Level 100,/w/images/1/16/OmahaChibi.png,2865,Light,158,67,123,180,79,35,246,0,8,135,70
Bush,Eagle Union,Destroyer,Rare,Level 120,/w/images/4/4a/BushChibi.png,2054,Light,201,34,85,282,160,42,189,0,8,199,206
Omaha,Eagle Union,Light Cruiser,Normal,Base Stats,/w/images/1/16/OmahaChibi.png,554,Light,67,67,26,38,30,35,53,0,2,52,19
Karlsruhe,Ironblood,Light Cruiser,Normal,Level 120,/w/images/8/8b/KarlsruheChibi.png,3372,Light,175,39,152,273,100,32,333,0,8,153,87
Raleigh,Eagle Union,Light Cruiser,Normal,Level 120,/w/images/8/83/RaleighChibi.png,3237,Light,182,82,142,207,101,35,281,0,8,151,80
Chikuma,Sakura Empire,Heavy Cruiser,Unreleased,Base Stats,/w/images/8/8a/ChikumaChibi.png,,,,,,,,,,,,,
Raleigh,Eagle Union,Light Cruiser,Normal,Level 100,/w/images/8/83/RaleighChibi.png,2865,Light,158,82,123,180,79,35,246,0,8,135,70
Karlsruhe,Ironblood,Light Cruiser,Normal,Level 100 Retrofit,/w/images/8/8b/KarlsruheChibi.png,3229,Light,157,39,153,284,76,32,310,0,8,133,76
Raleigh,Eagle Union,Light Cruiser,Normal,Base Stats,/w/images/8/83/RaleighChibi.png,554,Light,67,82,26,38,30,35,53,0,2,52,19
Bush,Eagle Union,Destroyer,Rare,Level 100,/w/images/4/4a/BushChibi.png,1712,Light,175,34,74,247,154,42,164,0,8,190,186
Brooklyn,Eagle Union,Light Cruiser,Rare,Level 120,/w/images/4/43/BrooklynChibi.png,3470,Light,181,55,164,0,90,32,307,0,9,158,99
Karlsruhe,Ironblood,Light Cruiser,Normal,Level 100,/w/images/8/8b/KarlsruheChibi.png,2989,Light,152,39,133,239,76,32,295,0,8,133,76
Brooklyn,Eagle Union,Light Cruiser,Rare,Level 100,/w/images/4/43/BrooklynChibi.png,3076,Light,157,55,142,0,73,32,270,0,9,141,87
Cavalla,Eagle Union,Submarine,Super Rare,Base Stats,/w/images/8/87/CavallaChibi.png,306,Light,34,78,12,101,9,16,0,0,2,66,0
Brooklyn,Eagle Union,Light Cruiser,Rare,Base Stats,/w/images/4/43/BrooklynChibi.png,595,Light,66,55,30,0,28,32,58,0,2,54,24
Karlsruhe,Ironblood,Light Cruiser,Normal,Base Stats,/w/images/8/8b/KarlsruheChibi.png,578,Light,64,39,28,51,29,32,63,0,2,51,21
Phoenix,Eagle Union,Light Cruiser,Rare,Level 120,/w/images/f/fc/PhoenixChibi.png,3470,Light,181,88,164,0,90,32,307,0,9,158,95
Bush,Eagle Union,Destroyer,Rare,Base Stats,/w/images/4/4a/BushChibi.png,331,Light,74,34,16,52,59,42,35,0,2,73,51
Phoenix,Eagle Union,Light Cruiser,Rare,Level 100,/w/images/f/fc/PhoenixChibi.png,3076,Light,157,88,142,0,73,32,270,0,9,141,84
Köln,Ironblood,Light Cruiser,Normal,Level 120 Retrofit,/w/images/6/6b/KölnChibi.png,3612,Light,180,62,172,318,100,32,348,0,8,153,105
Phoenix,Eagle Union,Light Cruiser,Rare,Base Stats,/w/images/f/fc/PhoenixChibi.png,595,Light,66,88,30,0,28,32,58,0,2,54,23
Halsey Powell,Eagle Union,Destroyer,Rare,Level 100,/w/images/0/02/Halsey_PowellChibi.png,1746,Light,177,55,70,246,154,42,191,0,9,188,193
Helena,Eagle Union,Light Cruiser,Elite,Level 120,/w/images/8/86/HelenaChibi.png,3604,Light,185,33,171,0,90,32,316,0,10,175,109
Köln,Ironblood,Light Cruiser,Normal,Level 120,/w/images/6/6b/KölnChibi.png,3372,Light,175,62,152,273,100,32,333,0,8,153,105
Helena,Eagle Union,Light Cruiser,Elite,Level 100,/w/images/8/86/HelenaChibi.png,3204,Light,161,33,149,0,73,32,279,0,10,156,96
Centaur,Royal Navy,Light Aircraft Carrier,Super Rare,Level 120,/w/images/f/f7/CentaurChibi.png,6626,Medium,160,73,0,0,70,28,268,421,13,95,126
Helena,Eagle Union,Light Cruiser,Elite,Base Stats,/w/images/8/86/HelenaChibi.png,620,Light,68,33,32,0,28,32,60,0,3,60,26
Köln,Ironblood,Light Cruiser,Normal,Level 100 Retrofit,/w/images/6/6b/KölnChibi.png,3229,Light,157,62,153,284,76,32,310,0,8,133,93
Atlanta,Eagle Union,Light Cruiser,Rare,Level 120,/w/images/4/41/AtlantaChibi.png,3517,Light,179,12,129,157,95,32,422,0,9,168,187
Bataan,Eagle Union,Light Aircraft Carrier,Elite,Level 120,/w/images/9/94/BataanChibi.png,5008,Medium,199,65,0,0,83,31,276,347,11,89,72
Atlanta,Eagle Union,Light Cruiser,Rare,Level 100,/w/images/4/41/AtlantaChibi.png,3126,Light,156,12,112,137,73,32,380,0,9,150,168
Köln,Ironblood,Light Cruiser,Normal,Level 100,/w/images/6/6b/KölnChibi.png,2989,Light,152,62,133,239,76,32,295,0,8,133,93
Atlanta,Eagle Union,Light Cruiser,Rare,Base Stats,/w/images/4/41/AtlantaChibi.png,605,Light,66,12,24,29,28,32,81,0,2,58,46
Centaur,Royal Navy,Light Aircraft Carrier,Super Rare,Level 100,/w/images/f/f7/CentaurChibi.png,5712,Medium,139,73,0,0,50,28,234,379,13,81,112
Juneau,Eagle Union,Light Cruiser,Rare,Level 120,/w/images/6/66/JuneauChibi.png,3517,Light,179,18,129,157,95,32,422,0,9,168,187
